url,domain,confidence_score,matched_signals,checked_at
https://bizbet.io,bizbet.io,0.8,strong:register now|strong:curaçao egaming|medium:casino|medium:poker|medium:betting,2026-08-09T05:54:41Z
https://duelbet.com,duelbet.com,0.95,strong:deposit bonus|strong:live dealer|strong:withdraw winnings|medium:casino|medium:slots,2026-08-09T05:54:43Z
https://winsly.com,winsly.com,1.0,strong:deposit bonus|strong:free spins|strong:sign up now|medium:casino|medium:slots|medium:sportsbook|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:54:43Z
https://betplays.com,betplays.com,1.0,strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:sportsbook|medium:betting,2026-08-09T05:54:44Z
https://scibet.io,scibet.io,0.95,strong:play now|strong:mga/|medium:casino|medium:slots|medium:betting|structural:gambleaware,2026-08-09T05:54:53Z
https://onlineslots.com,onlineslots.com,1.0,strong:free spins|strong:claim bonus|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:gambleaware|negative:written by,2026-08-09T05:55:03Z
https://slotsjudge.com,slotsjudge.com,1.0,strong:deposit bonus|strong:free spins|strong:play now|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|structural:responsible gambling|structural:age verification,2026-08-09T05:55:07Z
https://gamblingnerd.com,gamblingnerd.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|structural:responsible gambling,2026-08-09T05:55:26Z
https://ozoon.eu,ozoon.eu,1.0,strong:free spins|strong:live dealer|strong:bet slip|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:betting|structural:responsible gambling,2026-08-09T05:55:26Z
https://blackchippoker.eu,blackchippoker.eu,0.8,strong:deposit bonus|strong:play now|medium:casino|medium:poker|medium:sportsbook,2026-08-09T05:55:27Z
https://legalbet.uk,legalbet.uk,1.0,strong:deposit bonus|strong:free spins|strong:ukgc|medium:casino|medium:slots|medium:betting,2026-08-09T05:55:28Z
https://casinosadvisor.org,casinosadvisor.org,1.0,strong:deposit bonus|strong:live dealer|strong:play now|strong:cashier|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|structural:responsible gambling|negative:written by,2026-08-09T05:55:34Z
https://casinoencyclopedia.com,casinoencyclopedia.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|negative:how to play,2026-08-09T05:55:41Z
https://stake.com.tw,stake.com.tw,0.9,strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:wager|medium:betting,2026-08-09T05:56:02Z
https://slotsspinvip.com,slotsspinvip.com,1.0,strong:deposit bonus|strong:free spins|strong:withdraw winnings|medium:casino|medium:slots|medium:jackpot,2026-08-09T05:56:09Z
https://en-acrpoker.com,en-acrpoker.com,0.95,strong:sign up now|strong:claim bonus|strong:play now|medium:casino|medium:poker,2026-08-09T05:57:04Z
https://fruityslots.com,fruityslots.com,1.0,strong:deposit bonus|strong:free spins|medium:casino|medium:slots|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:57:24Z
https://casinogrounds.com,casinogrounds.com,0.8,strong:deposit bonus|strong:free spins|medium:casino|medium:slots|medium:poker,2026-08-09T05:57:27Z
https://betfury.com,betfury.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:57:29Z
https://playtoday.co,playtoday.co,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|structural:responsible gambling,2026-08-09T05:57:29Z
https://casinoadvisor.com,casinoadvisor.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:wager|structural:gambleaware|structural:responsible gambling|negative:how to play,2026-08-09T05:57:31Z
https://csgamble.com,csgamble.com,1.0,strong:deposit bonus|strong:claim bonus|medium:casino|medium:slots|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:responsible gambling,2026-08-09T05:58:24Z
https://online.casino,online.casino,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:withdraw winnings|strong:register now|medium:casino|medium:slots|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:58:27Z
https://casinoreviews.com,casinoreviews.com,1.0,strong:deposit bonus|strong:free spins|strong:ukgc|medium:casino|medium:slots|medium:wager|structural:responsible gambling,2026-08-09T05:58:29Z
https://cryptocasinos.com,cryptocasinos.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:responsible gambling|negative:written by,2026-08-09T05:58:31Z
https://play-bitcasino.org,play-bitcasino.org,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|strong:cashier|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:betting,2026-08-09T05:58:32Z
